12/2/2016,listing below.  There is no,118
12/2/2016,Citibank®,111
12/2/2016,U.S. Bank,104
12/2/2016,RBFCU,81
12/2/2016,NAVY FEDERAL CREDIT UNION,63
12/2/2016,PNC BANK,60
12/2/2016,Security Service Federal Credit Union,54
12/2/2016,People's United Bank,50
12/2/2016,Associated Bank,47
12/2/2016,TD Bank,37
12/2/2016,Citibank,33
12/3/2016,Chase,526
12/3/2016,Bank of America,497
12/3/2016,Wells Fargo Bank,319
12/3/2016,American Express,173
12/3/2016,listing below.  There is no,127
12/3/2016,Capital One,101
12/3/2016,U.S. Bank,93
12/3/2016,Citi\u00AE,72
12/3/2016,PNC BANK,68
12/3/2016,NAVY FEDERAL CREDIT UNION,57
12/3/2016,Citibank®,47
12/3/2016,TD Bank,39
12/3/2016,Citibank,26
12/3/2016,USAA Federal Savings Bank,26
12/3/2016,Regions Bank,22
12/3/2016,SunTrust,22
12/3/2016,State Employees' Credit Union,19
12/3/2016,Fifth Third Bank,15
12/3/2016,TCF NATIONAL BANK,13
12/3/2016,BRANCH BANKING and TRUST CO,13
12/4/2016,Capital One,806
12/4/2016,Bank of America,745
12/4/2016,Chase,514
12/4/2016,Fifth Third Bank,401
12/4/2016,SunTrust,338
12/4/2016,Wells Fargo Bank,299
12/4/2016,KeyBank,194
12/4/2016,Citi\u00AE,180
12/4/2016,American Express,152
12/4/2016,RBFCU,151
12/4/2016,Citibank®,114
12/4/2016,listing below.  There is no,107
12/4/2016,U.S. Bank,89
12/4/2016,Associated Bank,84
12/4/2016,Security Service Federal Credit Union,76
12/4/2016,PNC BANK,64
12/4/2016,NAVY FEDERAL CREDIT UNION,55
12/4/2016,People's United Bank,55
12/4/2016,Ally Bank,40
12/4/2016,Citizens Equity First Credit Union,35
12/5/2016,Capital One,840
12/5/2016,Bank of America,811
12/5/2016,Chase,545
