Date,Issuer,Count
2016-11-25,NAVY FEDERAL CREDIT UNION,63
2016-11-25,American Express,200
2016-11-25,Bank of America,579
2016-11-25,Fifth Third Bank,16
2016-11-25,Citibank®,42
2016-11-25,Elan Financial Services Fidelity,14
2016-11-25,State Employees' Credit Union,14
2016-11-25,TCF NATIONAL BANK,11
2016-11-25,TD Bank,37
2016-11-25,SunTrust,18
2016-11-25,Regions Bank,27
2016-11-25,Citibank,27
2016-11-25,USAA Federal Savings Bank,36
2016-11-26,Capital One,100
2016-11-26,listing below.  There is no,132
2016-11-26,Citi\u00AE,74
2016-11-26,Bank of America,523
2016-11-26,U.S. Bank,84
2016-11-26,SunTrust,26
2016-11-26,Citibank®,32
2016-11-26,NAVY FEDERAL CREDIT UNION,65
2016-11-26,American Express,189
2016-11-26,Chase,572
2016-11-26,USAA Federal Savings Bank,28
2016-11-26,TD Bank,25
2016-11-26,TCF NATIONAL BANK,14
2016-11-26,Fifth Third Bank,13
2016-11-26,Regions Bank,20
2016-11-26,State Employees' Credit Union,10
2016-11-26,Citibank,38
2016-11-26,Wells Fargo Bank,439
2016-11-26,America First Credit Union,9
2016-11-26,PNC BANK,66
2016-11-27,PNC BANK,59
2016-11-27,Wells Fargo Bank,271
2016-11-27,listing below.  There is no,121
2016-11-27,Bank of America,485
2016-11-27,Chase,503
2016-11-27,Capital One,107
2016-11-27,NAVY FEDERAL CREDIT UNION,74
2016-11-27,BRANCH BANKING and TRUST CO,10
2016-11-27,Citi\u00AE,64
2016-11-27,U.S. Bank,82
2016-11-27,Citibank,35
2016-11-27,American Express,147
2016-11-27,TD Bank,20
2016-11-27,State Employees' Credit Union,9
2016-11-27,USAA Federal Savings Bank,20
2016-11-27,SunTrust,12
2016-11-27,Citibank®,30
2016-11-27,Fifth Third Bank,10
2016-11-27,Regions Bank,21
2016-11-27,COMPASS BANK,11
2016-11-28,Chase,492
2016-11-28,PNC BANK,61
2016-11-28,Bank of America,554
2016-11-28,Citi\u00AE,66
2016-11-28,listing below.  There is no,110
2016-11-28,Capital One,89
2016-11-28,American Express,169
2016-11-28,Wells Fargo Bank,440
2016-11-28,U.S. Bank,95
2016-11-28,NAVY FEDERAL CREDIT UNION,89
2016-11-28,TD Bank,29
2016-11-28,State Employees' Credit Union,13
2016-11-28,SunTrust,21
2016-11-28,Citibank®,40
2016-11-28,BRANCH BANKING and TRUST CO,18
2016-11-28,TCF NATIONAL BANK,13
2016-11-28,Fifth Third Bank,11
2016-11-28,Citibank,24
2016-11-28,USAA Federal Savings Bank,30
2016-11-28,Regions Bank,28
2016-11-29,NAVY FEDERAL CREDIT UNION,62
2016-11-29,Chase,562
2016-11-29,Wells Fargo Bank,386
2016-11-29,American Express,176
2016-11-29,PNC BANK,68
2016-11-29,Capital One,104
2016-11-29,Bank of America,570
2016-11-29,listing below.  There is no,121
2016-11-29,U.S. Bank,101
2016-11-29,Citi\u00AE,55
2016-11-29,TCF NATIONAL BANK,10
2016-11-29,TD Bank,34
2016-11-29,Elan Financial Services Fidelity,10
2016-11-29,Citibank®,31
2016-11-29,BRANCH BANKING and TRUST CO,11
2016-11-29,America First Credit Union,12
2016-11-29,Citibank,26
2016-11-29,USAA Federal Savings Bank,34
2016-11-29,Regions Bank,25
2016-11-29,SunTrust,31
2016-11-30,American Express,188
2016-11-30,PNC BANK,79
2016-11-30,listing below.  There is no,123
2016-11-30,Citi\u00AE,67
2016-11-30,Capital One,105
2016-11-30,Wells Fargo Bank,435
2016-11-30,NAVY FEDERAL CREDIT UNION,77
2016-11-30,Bank of America,570
2016-11-30,Chase,553
2016-11-30,U.S. Bank,89
2016-11-30,Citibank,36
2016-11-30,KeyBank,11
2016-11-30,USAA Federal Savings Bank,32
2016-11-30,BRANCH BANKING and TRUST CO,14
2016-11-30,SunTrust,23
2016-11-30,TD Bank,41
2016-11-30,State Employees' Credit Union,15
2016-11-30,TCF NATIONAL BANK,9
2016-11-30,Regions Bank,26
2016-11-30,Citibank®,48
2016-12-01,American Express,177
2016-12-01,Citi\u00AE,92
2016-12-01,Chase,534
2016-12-01,Wells Fargo Bank,369
2016-12-01,listing below.  There is no,119
2016-12-01,SunTrust,110
2016-12-01,U.S. Bank,118
2016-12-01,Fifth Third Bank,92
2016-12-01,Capital One,309
2016-12-01,Bank of America,686
2016-12-01,PNC BANK,70
2016-12-01,Regions Bank,20
2016-12-01,USAA Federal Savings Bank,26
2016-12-01,Citibank®,65
2016-12-01,NAVY FEDERAL CREDIT UNION,51
2016-12-01,Citibank,35
2016-12-01,KeyBank,55
2016-12-01,Security Service Federal Credit Union,28
2016-12-01,RBFCU,30
2016-12-01,TD Bank,29
2016-12-02,American Express,181
2016-12-02,Fifth Third Bank,246
2016-12-02,Bank of America,734
2016-12-02,listing below.  There is no,118
2016-12-02,Chase,558
2016-12-02,Citi\u00AE,148
2016-12-02,SunTrust,271
2016-12-02,Wells Fargo Bank,388
2016-12-02,Capital One,284
2016-12-02,KeyBank,129
2016-12-02,U.S. Bank,104
2016-12-02,Security Service Federal Credit Union,54
2016-12-02,RBFCU,81
2016-12-02,Associated Bank,47
2016-12-02,Citibank,33
2016-12-02,PNC BANK,60
2016-12-02,NAVY FEDERAL CREDIT UNION,63
2016-12-02,People's United Bank,50
2016-12-02,Citibank®,111
2016-12-02,TD Bank,37
2016-12-03,Capital One,101
2016-12-03,Wells Fargo Bank,319
2016-12-03,listing below.  There is no,127
2016-12-03,U.S. Bank,93
2016-12-03,Citi\u00AE,72
2016-12-03,NAVY FEDERAL CREDIT UNION,57
2016-12-03,Bank of America,497
2016-12-03,American Express,173
2016-12-03,PNC BANK,68
2016-12-03,Chase,526
2016-12-03,BRANCH BANKING and TRUST CO,13
2016-12-03,SunTrust,22
2016-12-03,USAA Federal Savings Bank,26
2016-12-03,State Employees' Credit Union,19
2016-12-03,Fifth Third Bank,15
2016-12-03,Citibank,26
2016-12-03,TD Bank,39
2016-12-03,Regions Bank,22
2016-12-03,TCF NATIONAL BANK,13
2016-12-03,Citibank®,47
2016-12-04,SunTrust,338
2016-12-04,Bank of America,745
2016-12-04,Chase,514
2016-12-04,Citi\u00AE,180
2016-12-04,RBFCU,151
2016-12-04,Wells Fargo Bank,299
2016-12-04,Fifth Third Bank,401
2016-12-04,KeyBank,194
2016-12-04,American Express,152
2016-12-04,Capital One,806
2016-12-04,Associated Bank,84
2016-12-04,Security Service Federal Credit Union,76
2016-12-04,NAVY FEDERAL CREDIT UNION,55
2016-12-04,listing below.  There is no,107
2016-12-04,Citibank®,114
2016-12-04,Ally Bank,40
2016-12-04,PNC BANK,64
2016-12-04,Citizens Equity First Credit Union,35
2016-12-04,People's United Bank,55
